应用名称,状态,相似度,匹配的懒猫应用,说明
Dashy,不存在,,,懒猫商店中未找到此应用
Fenrus,不存在,,,懒猫商店中未找到此应用
Glance,不存在,,,懒猫商店中未找到此应用
Heimdall,不存在,,,懒猫商店中未找到此应用
Hiccup,不存在,,,懒猫商店中未找到此应用
Homarr,不存在,,,懒猫商店中未找到此应用
Homepage by gethomepage,不存在,,,懒猫商店中未找到此应用
Homepage by tomershvueli,不存在,,,懒猫商店中未找到此应用
Homer,不存在,,,懒猫商店中未找到此应用
Hubleys,不存在,,,懒猫商店中未找到此应用
LinkStack,已分析,100.0%,LinkStack,已在缺失应用分析中，优先级: 3k stars
LittleLink,已分析,100.0%,LittleLink,已在缺失应用分析中，优先级: 2k stars
Mafl,不存在,,,懒猫商店中未找到此应用
portkey,不存在,,,懒猫商店中未找到此应用
ryot,不存在,,,懒猫商店中未找到此应用
Starbase 80,已分析,100.0%,Starbase 80,已在缺失应用分析中，优先级: 390 stars
Web-Portal,不存在,,,懒猫商店中未找到此应用
Your Spotify,已分析,100.0%,Your Spotify,已在缺失应用分析中，优先级: 4k stars
